#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_001872885.1	PRJNA297582	SAMN04328247	MNXZ00000000.1	na	1805398	1805398	archaeon CG2_30_31_98		CG2_30_31_98	latest	Scaffold	Major	Full	2016/11/09	ASM187288v1	Banfield Lab, University of California, Berkeley	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/872/885/GCA_001872885.1_ASM187288v1	derived from metagenome	
GCA_001872765.1	PRJNA297582	SAMN04328239	MNWU00000000.1	na	1805422	1805422	Candidatus Woesearchaeota archaeon CG1_02_33_12		CG1_02_33_12	latest	Scaffold	Major	Full	2016/11/09	ASM187276v1	Banfield Lab, University of California, Berkeley	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/872/765/GCA_001872765.1_ASM187276v1	derived from metagenome	
GCA_001872825.1	PRJNA297582	SAMN04328225	MNWV00000000.1	na	1805423	1805423	Candidatus Woesearchaeota archaeon CG1_02_47_18		CG1_02_47_18	latest	Scaffold	Major	Full	2016/11/09	ASM187282v1	Banfield Lab, University of California, Berkeley	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/872/825/GCA_001872825.1_ASM187282v1	derived from metagenome	
GCA_001871415.1	PRJNA297582	SAMN04328224	MNWW00000000.1	na	1805424	1805424	Candidatus Woesearchaeota archaeon CG1_02_57_44		CG1_02_57_44	latest	Scaffold	Major	Full	2016/11/09	ASM187141v1	Banfield Lab, University of California, Berkeley	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/871/415/GCA_001871415.1_ASM187141v1	derived from metagenome	
GCA_001626095.1	PRJNA289734	SAMN04534599	LUOX00000000.1	na	1811582	1811582	Nitrosopelagicus sp. REDSEA-S08_B1		REDSEA-S08_B1	latest	Scaffold	Major	Full	2016/04/22	ASM162609v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/626/095/GCA_001626095.1_ASM162609v1	derived from metagenome	
GCA_001627105.1	PRJNA289734	SAMN04534600	LUOY00000000.1	na	1811583	1811583	Nitrosopelagicus sp. REDSEA-S19_B12N3		REDSEA-S19_B12N3	latest	Scaffold	Major	Full	2016/04/22	ASM162710v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/627/105/GCA_001627105.1_ASM162710v1	derived from metagenome ; low contig N50	
GCA_001627075.1	PRJNA289734	SAMN04534601	LUOZ00000000.1	na	1811584	1811584	Nitrosopelagicus sp. REDSEA-S25_B3		REDSEA-S25_B3	latest	Scaffold	Major	Full	2016/04/22	ASM162707v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/627/075/GCA_001627075.1_ASM162707v1	derived from metagenome	
GCA_001627055.1	PRJNA289734	SAMN04534602	LUPA00000000.1	na	1811585	1811585	Nitrosopelagicus sp. REDSEA-S27_B13N2		REDSEA-S27_B13N2	latest	Scaffold	Major	Full	2016/04/22	ASM162705v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/627/055/GCA_001627055.1_ASM162705v1	derived from metagenome	
GCA_001627235.1	PRJNA289734	SAMN04534603	LUPB00000000.1	na	1811586	1811586	Nitrosopelagicus sp. REDSEA-S31_B2		REDSEA-S31_B2	latest	Scaffold	Major	Full	2016/04/22	ASM162723v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/627/235/GCA_001627235.1_ASM162723v1	derived from metagenome	
GCA_001627165.1	PRJNA289734	SAMN04534604	LUPC00000000.1	na	1811587	1811587	Nitrosopelagicus sp. REDSEA-S32_B2		REDSEA-S32_B2	latest	Scaffold	Major	Full	2016/04/22	ASM162716v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/627/165/GCA_001627165.1_ASM162716v1	derived from metagenome	
GCA_001627095.1	PRJNA289734	SAMN04534605	LUPD00000000.1	na	1811588	1811588	Nitrosopelagicus sp. REDSEA-S37_B6		REDSEA-S37_B6	latest	Contig	Major	Full	2016/04/22	ASM162709v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/627/095/GCA_001627095.1_ASM162709v1	derived from metagenome	
GCA_001627015.1	PRJNA289734	SAMN04534606	LUPE00000000.1	na	1811589	1811589	Nitrosopelagicus sp. REDSEA-S43_B1		REDSEA-S43_B1	latest	Scaffold	Major	Full	2016/04/22	ASM162701v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/627/015/GCA_001627015.1_ASM162701v1	derived from metagenome	
GCA_001628435.1	PRJNA289734	SAMN04534670	LURP00000000.1	na	1811649	1811649	Marine group II euryarchaeote REDSEA-S03_B6		REDSEA-S03_B6	latest	Scaffold	Major	Full	2016/04/22	ASM162843v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/435/GCA_001628435.1_ASM162843v1	derived from metagenome	
GCA_001628455.1	PRJNA289734	SAMN04534671	LURQ00000000.1	na	1811650	1811650	Marine group II euryarchaeote REDSEA-S10_B2		REDSEA-S10_B2	latest	Scaffold	Major	Full	2016/04/22	ASM162845v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/455/GCA_001628455.1_ASM162845v1	derived from metagenome	
GCA_001628485.1	PRJNA289734	SAMN04534672	LURR00000000.1	na	1811651	1811651	Marine group II euryarchaeote REDSEA-S11_B3N4		REDSEA-S11_B3N4	latest	Scaffold	Major	Full	2016/04/22	ASM162848v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/485/GCA_001628485.1_ASM162848v1	derived from metagenome	
GCA_001628475.1	PRJNA289734	SAMN04534673	LURS00000000.1	na	1811652	1811652	Marine group II euryarchaeote REDSEA-S19_B7N8		REDSEA-S19_B7N8	latest	Contig	Major	Full	2016/04/22	ASM162847v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/475/GCA_001628475.1_ASM162847v1	derived from metagenome	
GCA_001629165.1	PRJNA289734	SAMN04534674	LURT00000000.1	na	1811653	1811653	Marine group II euryarchaeote REDSEA-S25_B4N5		REDSEA-S25_B4N5	latest	Scaffold	Major	Full	2016/04/22	ASM162916v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/165/GCA_001629165.1_ASM162916v1	derived from metagenome	
GCA_001629155.1	PRJNA289734	SAMN04534675	LURU00000000.1	na	1811654	1811654	Marine group II euryarchaeote REDSEA-S29_B8N9		REDSEA-S29_B8N9	latest	Scaffold	Major	Full	2016/04/22	ASM162915v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/155/GCA_001629155.1_ASM162915v1	derived from metagenome	
GCA_001629205.1	PRJNA289734	SAMN04534676	LURV00000000.1	na	1811655	1811655	Marine group II euryarchaeote REDSEA-S30_B12		REDSEA-S30_B12	latest	Scaffold	Major	Full	2016/04/22	ASM162920v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/205/GCA_001629205.1_ASM162920v1	derived from metagenome	
GCA_001629185.2	PRJNA289734	SAMN04534677	LURW00000000.2	na	1811656	1811656	Marine group II euryarchaeote REDSEA-S37_B2N9		REDSEA-S37_B2N9	latest	Contig	Major	Full	2016/07/12	ASM162918v2	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/185/GCA_001629185.2_ASM162918v2	derived from metagenome	
GCA_001629295.1	PRJNA289734	SAMN04534678	LURX00000000.1	na	1811657	1811657	Marine group II euryarchaeote REDSEA-S40_B11N13		REDSEA-S40_B11N13	latest	Scaffold	Major	Full	2016/04/22	ASM162929v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/295/GCA_001629295.1_ASM162929v1	derived from metagenome	
GCA_001629245.1	PRJNA289734	SAMN04534679	LURY00000000.1	na	1811658	1811658	Marine group II euryarchaeote REDSEA-S41_B6		REDSEA-S41_B6	latest	Scaffold	Major	Full	2016/04/22	ASM162924v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/245/GCA_001629245.1_ASM162924v1	derived from metagenome	
GCA_001629255.1	PRJNA289734	SAMN04534680	LURZ00000000.1	na	1811659	1811659	Marine group II euryarchaeote REDSEA-S42_B7		REDSEA-S42_B7	latest	Scaffold	Major	Full	2016/04/22	ASM162925v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/255/GCA_001629255.1_ASM162925v1	derived from metagenome	
GCA_001629235.1	PRJNA289734	SAMN04534681	LUSA00000000.1	na	1811660	1811660	Marine group II euryarchaeote REDSEA-S43_B8		REDSEA-S43_B8	latest	Scaffold	Major	Full	2016/04/22	ASM162923v1	King Abdullah University of Science and Technology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/235/GCA_001629235.1_ASM162923v1	derived from metagenome	
GCA_001870125.1	PRJNA317395	SAMN04606696		na	1826872	1826872	Candidatus Nitrosocosmicus exaquare	strain=G61		latest	Complete Genome	Major	Full	2016/11/07	ASM187012v1	University of Waterloo	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/870/125/GCA_001870125.1_ASM187012v1		
GCA_001940705.1	PRJNA319486	SAMN04924819	MEHG00000000.1	na	1837170	1837170	Candidatus Thorarchaeota archaeon AB_25		AB_25	latest	Contig	Major	Full	2017/01/10	ASM194070v1	Uppsala University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/940/705/GCA_001940705.1_ASM194070v1	derived from metagenome	
GCA_001766815.1	PRJNA319143	SAMN04880560	LYOS00000000.1	na	1838285	1838285	Candidatus Syntrophoarchaeum caldarius		BOX2	latest	Scaffold	Major	Full	2016/10/18	ASM176681v1	Max Planck Institute for Marine Microbiology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/766/815/GCA_001766815.1_ASM176681v1	derived from metagenome	
GCA_001766825.1	PRJNA318983	SAMN04871411	LYOR00000000.1	na	1839936	1839936	Candidatus Syntrophoarchaeum butanivorans		BOX1	latest	Scaffold	Major	Full	2016/10/18	ASM176682v1	Max Planck Institute for Marine Microbiology	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/766/825/GCA_001766825.1_ASM176682v1	derived from metagenome	
GCA_001940755.1	PRJNA319486	SAMN04924818	MEHH00000000.1	na	1841596	1841596	Candidatus Heimdallarchaeota archaeon AB_125		AB_125	latest	Contig	Major	Full	2017/01/10	ASM194075v1	Uppsala University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/940/755/GCA_001940755.1_ASM194075v1	derived from metagenome	
GCA_001940725.1	PRJNA319486	SAMN04924815	MDVR00000000.1	na	1841597	1841597	Candidatus Heimdallarchaeota archaeon LC_2		LC_2	latest	Contig	Major	Full	2017/01/10	ASM194072v1	Uppsala University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/940/725/GCA_001940725.1_ASM194072v1	derived from metagenome	
GCA_001940645.1	PRJNA319486	SAMN04924817	MDVS00000000.1	na	1841598	1841598	Candidatus Heimdallarchaeota archaeon LC_3		LC_3	latest	Contig	Major	Full	2017/01/10	ASM194064v1	Uppsala University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/940/645/GCA_001940645.1_ASM194064v1	derived from metagenome	
GCA_001940665.1	PRJNA319486	SAMN04924820	MDVT00000000.1	na	1841599	1841599	Candidatus Odinarchaeota archaeon LCB_4		LCB_4	latest	Contig	Major	Full	2017/01/10	ASM194066v1	Uppsala University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/940/665/GCA_001940665.1_ASM194066v1	derived from metagenome	
GCA_001940655.1	PRJNA288027	SAMN04958229	MBAA00000000.1	na	1849166	1849166	Candidatus Lokiarchaeota archaeon CR_4		CR_4	latest	Scaffold	Major	Full	2017/01/10	ASM194065v1	Banfield Lab, University of California, Berkeley	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/940/655/GCA_001940655.1_ASM194065v1	derived from metagenome ; low contig N50	
GCA_001723845.1	PRJNA321288	SAMN04979179	MCBE00000000.1	na	1849261	1849261	Candidatus Altiarchaeales archaeon WOR_SM1_SCG		WOR_SM1_SCG	latest	Scaffold	Major	Full	2016/09/13	ASM172384v1	University of Tennessee	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/845/GCA_001723845.1_ASM172384v1	derived from single cell	
GCA_001723855.1	PRJNA270657	SAMN04980912	MCBC00000000.1	na	1849364	1849364	Candidatus Altiarchaeales archaeon WOR_SM1_86-2		WOR_SM1_86-2	latest	Contig	Major	Full	2016/09/13	ASM172385v1	University of Texas	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/855/GCA_001723855.1_ASM172385v1	derived from metagenome	
GCA_001723835.1	PRJNA270657	SAMN04979201	MCBD00000000.1	na	1849365	1849365	Candidatus Altiarchaeales archaeon WOR_SM1_79		WOR_SM1_79	latest	Scaffold	Major	Full	2016/09/13	ASM172383v1	University of Texas	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/835/GCA_001723835.1_ASM172383v1	derived from metagenome	
GCA_002025255.1	PRJNA378126	SAMN06480072	MWUK00000000.1	na	1853690	1853690	Halolamina sp. CBA1230	strain=CBA1230		latest	Contig	Major	Full	2017/03/13	ASM202525v1	Korea Basic Science Institute	GCF_002025255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/025/255/GCA_002025255.1_ASM202525v1		
GCA_002135005.1	PRJNA383315	SAMN06761329	NEWI00000000.1	na	1855863	1855863	Halorubrum sp. SD612	strain=SD612		latest	Scaffold	Major	Full	2017/05/12	ASM213500v1	University of Sevilla, Spain	GCF_002135005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/135/005/GCA_002135005.1_ASM213500v1		
GCA_002135045.1	PRJNA383329	SAMN06761387	NEWJ00000000.1	na	1855873	1855873	Halorubrum sp. SD683	strain=SD683		latest	Scaffold	Major	Full	2017/05/12	ASM213504v1	University of Sevilla, Spain	GCF_002135045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/135/045/GCA_002135045.1_ASM213504v1		
GCA_001729375.1	PRJNA324744	SAMN05219188	LZPK00000000.1	na	1860098	1860098	Methanosarcina sp. A14	strain=A14		latest	Contig	Major	Full	2016/09/16	ASM172937v1	Australian Centre for Ecogenomics, The University of Queensland	GCF_001729375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/375/GCA_001729375.1_ASM172937v1		
GCA_001729385.1	PRJNA324744	SAMN05224565	LZPL00000000.1	na	1860099	1860099	Methanobrevibacter sp. A27	strain=A27		latest	Contig	Major	Full	2016/09/16	ASM172938v1	Australian Centre for Ecogenomics, The University of Queensland	GCF_001729385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/385/GCA_001729385.1_ASM172938v1		
GCA_001729285.1	PRJNA324744	SAMN05224566	LZPM00000000.1	na	1860100	1860100	Methanobacterium sp. A39	strain=A39		latest	Contig	Major	Full	2016/09/16	ASM172928v1	Australian Centre for Ecogenomics, The University of Queensland	GCF_001729285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/285/GCA_001729285.1_ASM172928v1		
GCA_001729455.1	PRJNA324744	SAMN05231871	MAIE00000000.1	na	1860156	1860156	Methanobrevibacter sp. A54	strain=A54		latest	Contig	Major	Full	2016/09/16	ASM172945v1	Australian Centre for Ecogenomics, The University of Queensland	GCF_001729455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/455/GCA_001729455.1_ASM172945v1		
GCA_001729395.1	PRJNA324744	SAMN05231872	MAIF00000000.1	na	1860157	1860157	Methanosphaera sp. A6	strain=A6		latest	Contig	Major	Full	2016/09/16	ASM172939v1	Australian Centre for Ecogenomics, The University of Queensland	GCF_001729395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/395/GCA_001729395.1_ASM172939v1		
GCA_001683555.1	PRJNA309130	SAMN05258748	MAFX00000000.1	na	1864608	1864608	Methanohalophilus sp. DAL1		DAL1	latest	Contig	Major	Full	2016/07/11	ASM168355v1	University of Pittsburgh	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/555/GCA_001683555.1_ASM168355v1	derived from metagenome	
GCA_001717005.1	PRJNA321438	SAMN04994458	MAGS00000000.1	na	1867258	1867258	Candidatus Methanomethylicus mesodigestum		V1	latest	Scaffold	Major	Full	2016/08/30	ASM171700v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/005/GCA_001717005.1_ASM171700v1	derived from metagenome	
GCA_001717035.1	PRJNA321438	SAMN04994459	MAGT00000000.1	na	1867258	1867258	Candidatus Methanomethylicus mesodigestum		V2	latest	Scaffold	Major	Full	2016/08/30	ASM171703v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/035/GCA_001717035.1_ASM171703v1	derived from metagenome	
GCA_001717025.1	PRJNA321438	SAMN04994460	MAGU00000000.1	na	1867260	1867260	Candidatus Methanomethylicus oleusabulum		V3	latest	Scaffold	Major	Full	2016/08/30	ASM171702v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/025/GCA_001717025.1_ASM171702v1	derived from metagenome	
GCA_001717015.1	PRJNA321438	SAMN04994461	MAGV00000000.1	na	1867261	1867261	Candidatus Methanosuratus petracarbonis		V4	latest	Scaffold	Major	Full	2016/08/30	ASM171701v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/015/GCA_001717015.1_ASM171701v1	derived from metagenome	
GCA_001717085.1	PRJNA321438	SAMN04994464	MAGW00000000.1	na	1867261	1867261	Candidatus Methanosuratus petracarbonis		V5	latest	Scaffold	Major	Full	2016/08/30	ASM171708v1	University of Queensland	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/085/GCA_001717085.1_ASM171708v1	derived from metagenome ; low contig N50	
GCA_001861355.1	PRJNA327293	SAMN05328039	MASN00000000.1	na	1869245	1869245	Natrialba sp. SSL1	strain=SSL1		latest	Contig	Major	Full	2016/11/02	ASM186135v1	M. G. Science Institute	GCF_001861355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/861/355/GCA_001861355.1_ASM186135v1		
GCA_001767315.1	PRJNA323694	SAMN05185403		na	1873524	1873524	Halodesulfurarchaeum formicicum	strain=HTSR1		latest	Complete Genome	Major	Full	2016/10/18	ASM176731v1	C.N.R. - Institute for Coastal Marine Environment (IAMC)	GCF_001767315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/767/315/GCA_001767315.1_ASM176731v1		
GCA_001886955.1	PRJNA328078	SAMN05363636		representative genome	1873524	1873524	Halodesulfurarchaeum formicicum	strain=HSR6		latest	Complete Genome	Major	Full	2016/11/28	ASM188695v1	Immanuel Kant Baltic Federal University	GCF_001886955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/886/955/GCA_001886955.1_ASM188695v1		assembly from type material
GCA_002243045.1	PRJNA329468	SAMN05413111	MBKP00000000.1	na	1874706	1874706	Methanolobus sp. YSF-03	strain=YSF-03		latest	Contig	Major	Full	2017/08/07	ASM224304v1	National Chung Hsing University	GCF_002243045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/243/045/GCA_002243045.1_ASM224304v1		
GCA_001742785.1	PRJEB6121	SAMN05386354	MCBF00000000.1	na	1878999	1878999	Candidatus Altiarchaeales archaeon IMC4		IMC4_SM1	latest	Scaffold	Major	Full	2016/09/13	ASM174278v1	UNIVERSITY OF REGENSBURG	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/742/785/GCA_001742785.1_ASM174278v1	derived from metagenome	
GCA_001714685.2	PRJNA330682	SAMN05438611	MDTP00000000.2	na	1882735	1882735	Methanosarcina sp. Ant1		Ant1	latest	Contig	Major	Full	2016/10/03	ASM171468v2	University of Tennessee	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/714/685/GCA_001714685.2_ASM171468v2	derived from environmental source	
GCA_001726015.1	PRJNA308326	SAMN05172267	MCNQ00000000.1	na	1884871	1884871	Methanohalophilus sp. 2-GBenrich		2-GBenrich	latest	Contig	Major	Full	2016/09/14	ASM172601v1	The Ohio State University	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/726/015/GCA_001726015.1_ASM172601v1	derived from metagenome	
GCA_001875345.1	PRJNA335308	SAMN05509049	MIZA00000000.1	na	1888995	1888995	Marine Group III euryarchaeote CG-Epi1		CG-Epi1	latest	Contig	Major	Full	2016/11/10	ASM187534v1	Universidad Miguel Hernandez, Evolutionary Genomics Group	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/345/GCA_001875345.1_ASM187534v1	derived from metagenome	
GCA_001875465.1	PRJNA335308	SAMN05509050	MIYZ00000000.1	na	1888996	1888996	Marine Group III euryarchaeote CG-Epi2		CG-Epi2	latest	Contig	Major	Full	2016/11/10	ASM187546v1	Universidad Miguel Hernandez, Evolutionary Genomics Group	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/465/GCA_001875465.1_ASM187546v1	derived from metagenome	
GCA_001875355.1	PRJNA335308	SAMN05509051	MIYY00000000.1	na	1888997	1888997	Marine Group III euryarchaeote CG-Epi3		CG-Epi3	latest	Contig	Major	Full	2016/11/10	ASM187535v1	Universidad Miguel Hernandez, Evolutionary Genomics Group	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/355/GCA_001875355.1_ASM187535v1	derived from metagenome	
GCA_001875365.1	PRJNA335308	SAMN05509052	MIYX00000000.1	na	1888998	1888998	Marine Group III euryarchaeote CG-Epi4		CG-Epi4	latest	Contig	Major	Full	2016/11/10	ASM187536v1	Universidad Miguel Hernandez, Evolutionary Genomics Group	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/365/GCA_001875365.1_ASM187536v1	derived from metagenome	
GCA_001875455.1	PRJNA335308	SAMN05509053	MIYW00000000.1	na	1888999	1888999	Marine Group III euryarchaeote CG-Epi5		CG-Epi5	latest	Contig	Major	Full	2016/11/10	ASM187545v1	Universidad Miguel Hernandez, Evolutionary Genomics Group	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/455/GCA_001875455.1_ASM187545v1	derived from metagenome	
GCA_001875375.1	PRJNA335308	SAMN05509054	MIYV00000000.1	na	1889000	1889000	Marine Group III euryarchaeote CG-Epi6		CG-Epi6	latest	Contig	Major	Full	2016/11/10	ASM187537v1	Universidad Miguel Hernandez, Evolutionary Genomics Group	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/375/GCA_001875375.1_ASM187537v1	derived from metagenome	
GCA_001875425.1	PRJNA335308	SAMN05509055	MIYU00000000.1	na	1889001	1889001	Marine Group III euryarchaeote CG-Bathy1		CG-Bathy1	latest	Contig	Major	Full	2016/11/10	ASM187542v1	Universidad Miguel Hernandez, Evolutionary Genomics Group	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/425/GCA_001875425.1_ASM187542v1	derived from metagenome	
GCA_001875445.1	PRJNA335308	SAMN05509056	MIYT00000000.1	na	1889002	1889002	Marine Group III euryarchaeote CG-Bathy2		CG-Bathy2	latest	Contig	Major	Full	2016/11/10	ASM187544v1	Universidad Miguel Hernandez, Evolutionary Genomics Group	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/875/445/GCA_001875445.1_ASM187544v1	derived from metagenome	
GCA_001719125.1	PRJNA339201	SAMN05582949		na	1891280	1891280	Sulfolobus sp. A20	strain=A20		latest	Complete Genome	Major	Full	2016/09/06	ASM171912v1	Institute of Microbiology, Chinese Academy of Sciences	GCF_001719125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/719/125/GCA_001719125.1_ASM171912v1		
GCA_001723155.1	PRJNA341487	SAMN05725119	MEIH00000000.1	na	1897478	1897478	Haladaptatus sp. W1	strain=W1		latest	Contig	Major	Full	2016/09/12	ASM172315v1	University of Essex	GCF_001723155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/723/155/GCA_001723155.1_ASM172315v1		
GCA_002156965.1	PRJNA341864	SAMN05730076		na	1898749	1898749	Candidatus Nitrosomarinus catalina	strain=SPOT01		latest	Complete Genome	Major	Full	2017/05/22	ASM215696v1	University of Southern California	GCF_002156965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/156/965/GCA_002156965.1_ASM215696v1		
GCA_002156705.1	PRJNA376078	SAMN06349942		representative genome	1902251	1902251	Natrialbaceae archaeon JW/NM-HA 15	strain=JW/NM-HA 15		latest	Complete Genome	Major	Full	2017/05/23	ASM215670v1	Chinese Academy of Agricultural Sciences	GCF_002156705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/156/705/GCA_002156705.1_ASM215670v1		
GCA_001914405.1	PRJNA357090	SAMN05770050	MSDW00000000.1	na	1903181	1903181	Candidatus Methanohalarchaeum thermophilum		HMET1	latest	Contig	Major	Full	2016/12/23	ASM191440v1	National Center for Biotechnology Information	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/914/405/GCA_001914405.1_ASM191440v1	derived from metagenome	
GCA_001950595.1	PRJDB5200	SAMD00064366	BDJH00000000.1	na	1906246	1906246	Natronomonas sp. CBA1134	strain=CBA1134		latest	Contig	Major	Full	2016/12/06	ASM195059v1	Korea Basic Science Institute	GCF_001950595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/950/595/GCA_001950595.1_ASM195059v1		
GCA_002686315.1	PRJNA391943	SAMN07618365	NZBO00000000.1	na	1906665	1906665	archaeon		ARS1334	latest	Contig	Major	Full	2017/10/24	ASM268631v1	Tara Oceans Consortium	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/686/315/GCA_002686315.1_ASM268631v1	derived from metagenome	
